Membership No  Date Joined  Active  
    70710      2017-8-24    yes   
    42668      2017-5-3     no    
    11333      2016-4-6     no    
    57354      2020-10-3    yes   
    67164      2018-7-14    yes   
    28377      2020-3-1     no    
    37681      2020-7-16    yes   
    58469      2016-2-13    no    
    20988      2018-9-23    yes   
    19337      2020-5-10    no    
    52644      2016-7-25    no    
    67211      2016-4-25    yes   
    31721      2019-7-23    no    
    50861      2016-1-21    yes   
    88352      2017-5-12    yes   
    54730      2019-8-3     yes   
    98691      2018-10-20   no    
    75990      2020-8-2     yes   
    22258      2017-2-4     no    
    72867      2016-7-19    yes   
